date,station_id,reservoir,river,wma,prov,wss,fsc_mcm,water_mcm,pct_last_year,pct_last_week,pct_full,district_mun
20240506,A2R014,Vaalkop,Elands,1,NW,CW,51.32,35.85,87.9,,69.9,DC37
20240506,A2R015,Roodekopjes,Krokodil,1,NW,CW,96.35,99.19,103.8,,102.9,DC37
20240506,A2R018,Middelkraal,Maretlwane,1,NW,,0.74,0.6,100,,81.3,DC37
20240506,A3R001,Marico-Bosveld,Groot-Marico,1,NW,,26.93,9.78,100.8,,36.3,DC38
20240506,A3R002,Klein-Maricopoort,Klein Marico,1,NW,,7.23,5.97,88.3,,82.6,DC38
20240506,A3R003,Kromellenboog,Klein Marico,1,NW,,8.65,4.55,99.8,,52.6,DC38
20240506,A3R004,Molatedi,Groot-Marico,1,NW,,200.78,77.78,56.4,,38.7,DC38
20240506,A3R005,Sehujwane,Sehujane,1,NW,,3.61,3.46,91.8,,95.8,DC38
20240506,A3R006,Madikwe,Tholwane,1,NW,,15.94,5.87,53.9,,36.8,DC37
20240506,A3R007,Pella,Lethlakane,1,NW,,2.11,0.82,70.6,,38.9,DC37
20240506,A4R001,Mokolo,Mokolo,1,LP,,145.77,145.52,100.6,,99.8,DC36
20240506,A6R001,Doorndraai,Sterk,1,LP,,43.76,42.54,99.9,,97.2,DC36
20240506,A6R002,GlenAlpine,Mogalakwena,1,LP,,18.89,17.58,99.9,,93.1,DC35
20240506,A7R002,Houtrivier,Hout,1,LP,,6.62,5.08,95.6,,76.7,DC35
20240506,A8R001,Nzhelele,Nzhelele,1,LP,,51.23,39.48,100.5,,77,DC34
20240506,A8R002,Luphephe,Luphephe,1,LP,,13.98,11.29,100.5,,80.7,DC34
20240506,A8R003,Nwanedzi,Nwanedzi,1,LP,,5.14,4.03,100.4,,78.3,DC34
20240506,A8R004,&Mutshedzi,Mutshedzi,1,LP,,2.34,2.36,95.4,,101,DC34
20240506,A9R001,Albasini,Luvuvhu,1,LP,LV,28.2,26.87,99.6,,95.3,DC34
20240506,A9R002,Vondo,Mutshindudi,1,LP,LV,30.45,30.64,100.8,,100.6,DC34
20240506,A9R004,Nandoni,Levhuvhu,1,LP,LV,166.11,167.14,102,,100.6,DC34
20240506,B1R001,Witbank,Olifants,2,M,,104.02,102.71,100.3,,98.7,DC31
20240506,B1R002,Middelburg,LittleOlifants,2,M,,48.06,45.93,98.1,,95.6,DC31
20240506,B2R001,Bronkhorstspruit,Bronkhorstspruit,2,G,,56.99,43.85,95,,76.9,TSH
20240506,B3R001,Rust DeWinter,Elands,2,LP,,28.19,28.19,101.2,,100,DC36
20240506,B3R002,Loskop,Olifants,2,M,,361.51,362.24,100.3,,100.2,DC31
20240506,B3R005,Rhenosterkop,Elands,2,M,,204.58,194.28,90.4,,95,DC31
20240506,B4R001,Tonteldoos,Tonteldoos,2,LP,,0.19,0.19,100.3,,100.5,DC47
