obs_date,reservoir_id,variable,value,source_kind,bulletin_file,fetched_at
2023-02-18,CAHORA BASSA,storage_pct,91.64,prose,BH058_18.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-18,CHICAMBA,outflow_m3s,39.9,prose,BH058_18.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-18,CHICAMBA,storage_pct,63.16,prose,BH058_18.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-18,MUDA,outflow_m3s,1.5,prose,BH058_18.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-18,MUDA,storage_pct,69.02,prose,BH058_18.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-19,CAHORA BASSA,outflow_m3s,3566.47,prose,BH059_19.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-19,MUDA,outflow_m3s,1.5,prose,BH059_19.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-19,MUDA,storage_pct,69.02,prose,BH059_19.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-20,CAHORA BASSA,outflow_m3s,3372.33,prose,BH060_20.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-20,MUDA,outflow_m3s,1.5,prose,BH060_20.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-20,MUDA,storage_pct,68.21,prose,BH060_20.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-21,CAHORA BASSA,outflow_m3s,2734.57,prose,BH061_21.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-21,CAHORA BASSA,storage_pct,92.58,prose,BH061_21.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-21,CHICAMBA,outflow_m3s,29.5,prose,BH061_21.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-21,CHICAMBA,storage_pct,67.32,prose,BH061_21.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-21,MUDA,outflow_m3s,1.5,prose,BH061_21.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-21,MUDA,storage_pct,68.21,prose,BH061_21.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-22,CAHORA BASSA,outflow_m3s,2017.86,prose,BH062_22.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-22,CAHORA BASSA,storage_pct,92.97,prose,BH062_22.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-22,CHICAMBA,outflow_m3s,27.2,prose,BH062_22.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-22,CHICAMBA,storage_pct,67.95,prose,BH062_22.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-22,MUDA,outflow_m3s,1.5,prose,BH062_22.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-22,MUDA,storage_pct,68.21,prose,BH062_22.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-23,CAHORA BASSA,outflow_m3s,1973.07,prose,BH063_23.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-23,CAHORA BASSA,storage_pct,93.22,prose,BH063_23.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-23,CHICAMBA,outflow_m3s,24.9,prose,BH063_23.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-23,CHICAMBA,storage_pct,68.92,prose,BH063_23.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-23,MUDA,outflow_m3s,1.5,prose,BH063_23.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-23,MUDA,storage_pct,85.84,prose,BH063_23.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-24,CAHORA BASSA,outflow_m3s,1962.03,prose,BH064_24.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-24,CAHORA BASSA,storage_pct,93.57,prose,BH064_24.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-24,CHICAMBA,outflow_m3s,29.14,prose,BH064_24.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-24,CHICAMBA,storage_pct,69.36,prose,BH064_24.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-24,MUDA,outflow_m3s,1.5,prose,BH064_24.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-24,MUDA,storage_pct,91.53,prose,BH064_24.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-27,CAHORA BASSA,outflow_m3s,1931.48,prose,BH065_27.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-27,CAHORA BASSA,storage_pct,94.27,prose,BH065_27.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-27,CHICAMBA,outflow_m3s,45.5,prose,BH065_27.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-27,CHICAMBA,storage_pct,69.36,prose,BH065_27.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-27,MUDA,outflow_m3s,3,prose,BH065_27.02.2023.pdf,2026-09-01 09:37:44Z
2023-02-27,MUDA,storage_pct,95.18,prose,BH065_27.02.2023.pdf,2026-09-01 09:37:44Z
2023-03-01,CAHORA BASSA,outflow_m3s,2221.8,prose,BH067_01.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-01,CAHORA BASSA,storage_pct,94.52,prose,BH067_01.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-01,CHICAMBA,outflow_m3s,26.45,prose,BH067_01.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-01,CHICAMBA,storage_pct,70.33,prose,BH067_01.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-01,MUDA,outflow_m3s,394.43,prose,BH067_01.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-01,MUDA,storage_pct,116.77,prose,BH067_01.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-02,CAHORA BASSA,outflow_m3s,3113.18,prose,BH068_02.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-02,CAHORA BASSA,storage_pct,94.52,prose,BH068_02.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-02,CHICAMBA,outflow_m3s,26.7,prose,BH068_02.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-02,CHICAMBA,storage_pct,70.71,prose,BH068_02.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-02,MUDA,outflow_m3s,138.3,prose,BH068_02.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-02,MUDA,storage_pct,100,prose,BH068_02.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-03,CAHORA BASSA,outflow_m3s,3477.06,prose,BH069_03.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-03,CAHORA BASSA,storage_pct,94.32,prose,BH069_03.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-03,CHICAMBA,outflow_m3s,26.6,prose,BH069_03.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-03,CHICAMBA,storage_pct,70.71,prose,BH069_03.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-03,MUDA,outflow_m3s,74.06,prose,BH069_03.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-03,MUDA,storage_pct,100,prose,BH069_03.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-04,CAHORA BASSA,outflow_m3s,3347.75,prose,BH070_04.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-04,CAHORA BASSA,storage_pct,94.17,prose,BH070_04.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-04,CHICAMBA,outflow_m3s,27,prose,BH070_04.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-04,CHICAMBA,storage_pct,71.1,prose,BH070_04.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-04,MUDA,outflow_m3s,50.86,prose,BH070_04.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-04,MUDA,storage_pct,100,prose,BH070_04.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-05,CAHORA BASSA,outflow_m3s,3473.92,prose,BH071_05.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-05,CAHORA BASSA,storage_pct,94.12,prose,BH071_05.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-05,CHICAMBA,outflow_m3s,32.7,prose,BH071_05.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-05,CHICAMBA,storage_pct,71.15,prose,BH071_05.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-05,MUDA,outflow_m3s,38.86,prose,BH071_05.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-05,MUDA,storage_pct,100,prose,BH071_05.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-06,CAHORA BASSA,outflow_m3s,3450,prose,BH072_06.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-06,CAHORA BASSA,storage_pct,94.02,prose,BH072_06.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-06,CHICAMBA,outflow_m3s,41.53,prose,BH072_06.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-06,CHICAMBA,storage_pct,71.25,prose,BH072_06.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-06,MUDA,outflow_m3s,42.64,prose,BH072_06.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-06,MUDA,storage_pct,100,prose,BH072_06.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-07,CAHORA BASSA,outflow_m3s,3476.41,prose,BH073_07.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-07,CAHORA BASSA,storage_pct,93.92,prose,BH073_07.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-07,CHICAMBA,outflow_m3s,30.43,prose,BH073_07.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-07,CHICAMBA,storage_pct,71.39,prose,BH073_07.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-07,MUDA,outflow_m3s,25,prose,BH073_07.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-07,MUDA,storage_pct,100,prose,BH073_07.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-08,CAHORA BASSA,outflow_m3s,3477.64,prose,BH074_08.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-08,CAHORA BASSA,storage_pct,93.67,prose,BH074_08.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-08,CHICAMBA,outflow_m3s,26.6,prose,BH074_08.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-08,CHICAMBA,storage_pct,71.44,prose,BH074_08.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-08,MUDA,outflow_m3s,22.48,prose,BH074_08.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-08,MUDA,storage_pct,100,prose,BH074_08.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-09,CAHORA BASSA,outflow_m3s,3474.16,prose,BH075_09.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-09,CAHORA BASSA,storage_pct,93.57,prose,BH075_09.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-09,CHICAMBA,outflow_m3s,26.6,prose,BH075_09.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-09,CHICAMBA,storage_pct,71.59,prose,BH075_09.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-09,MUDA,outflow_m3s,18.7,prose,BH075_09.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-09,MUDA,storage_pct,100,prose,BH075_09.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-10,CAHORA BASSA,outflow_m3s,3490.55,prose,BH076_10.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-10,CAHORA BASSA,storage_pct,93.42,prose,BH076_10.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-10,CHICAMBA,outflow_m3s,27.16,prose,BH076_10.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-10,CHICAMBA,storage_pct,71.64,prose,BH076_10.03.2023.pdf,2026-09-01 09:37:44Z
2023-03-10,MUDA,outflow_m3s,16.18,prose,BH076_10.03.2023.pdf,2026-09-01 09:37:44Z
