流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
,黄河,汾河,汾河水库,04-04 08:00,1124.57,-0.03,16,2026-04-04,2026-04-03 20:57:32,8
黄河,山西,文峪河,文峪河水库,04-01 08:00,833.56,,17,2026-04-04,2026-04-03 20:57:32,8
黄河,陕西,千河,冯家山,04-01 08:00,708.27,,18,2026-04-04,2026-04-03 20:57:32,8
黄河,陕西,漆水河,羊毛湾,04-01 08:00,636.6,,19,2026-04-04,2026-04-03 20:57:32,8
黄河,陕西,黑河,金盆,04-04 08:00,585.43,0.07,20,2026-04-04,2026-04-03 20:57:32,8
黄河,陕西,石砭峪,石砭峪,04-04 08:00,724.6,-0.2,21,2026-04-04,2026-04-03 20:57:32,8
黄河,陕西,沮河,桃曲坡,04-01 08:00,786.03,,22,2026-04-04,2026-04-03 20:57:32,8
黄河,陕西,沈河,沈河,04-01 08:00,400.41,,23,2026-04-04,2026-04-03 20:57:32,8
黄河,河南,枯河,唐岗,04-01 08:00,117.44,,0,2026-04-04,2026-04-03 20:57:32,9
黄河,河南,漭河,白墙,04-01 08:00,125.18,,1,2026-04-04,2026-04-03 20:57:32,9
黄河,山东,东平湖,东平湖老湖,04-04 08:00,41.15,-0.02,2,2026-04-04,2026-04-03 20:57:32,9
黄河,山东,瀛汶河,雪野水库,04-01 08:00,232.24,,3,2026-04-04,2026-04-03 20:57:32,9
黄河,山东,石汶河,黄前水库,04-01 08:00,137.97,,4,2026-04-04,2026-04-03 20:57:32,9
黄河,山东,大汶河南支,东周水库,04-01 08:00,227.94,,5,2026-04-04,2026-04-03 20:57:32,9
黄河,山东,光明河,光明水库,04-01 08:00,88.07,,6,2026-04-04,2026-04-03 20:57:32,9
黄河,河南,伊河,陆浑坝上,04-04 08:00,317.77,,7,2026-04-04,2026-04-03 20:57:32,9
黄河,河南,焦家川,青沟,04-01 08:00,611.26,,8,2026-04-04,2026-04-03 20:57:32,9
黄河,河南,刘涧河,陶花店,04-01 08:00,131.82,,9,2026-04-04,2026-04-03 20:57:32,9
